,haloid,galid,redshift,ra,dec,m_vir,V_vir,r_vir,mhalo,mstar,mcold,Zstar,Zcold,mstardot,sfr_ave,meanage,angular_size,ellipticity,pos_angle,sersic_index,UV1500_rest,UV2300_rest,UV2800_rest,galex_FUV,galex_NUV,acsf435w,acsf606w,acsf775w,acsf814w,acsf850lp,wfc3f275w,wfc3f336w,wfc3f105w,wfc3f125w,wfc3f160w,NIRCam_F070W,NIRCam_F090W,NIRCam_F115W,NIRCam_F150W,NIRCam_F200W,NIRCam_F277W,NIRCam_F356W,NIRCam_F444W,NIRCam_F140M,NIRCam_F162M,NIRCam_F182M,NIRCam_F210M,NIRCam_F250M,NIRCam_F335M,NIRCam_F360M,NIRCam_F410M,NIRCam_F430M,NIRCam_F460M,NIRCam_F480M,irac_ch1,irac_ch2,irac_ch3,irac_ch4,MIRI_F560W,MIRI_F770W,MIRI_F1000W,MIRI_F1130W,MIRI_F1280W,MIRI_F1500W,MIRI_F1800W,MIRI_F2100W,MIRI_F2550W,x,y
251,6862604,1,9.874439,214.98192,52.908394,1.3713864,90.822662,0.0071384698,1.3713864,0.0021256896,0.034196255,0.056985904,0.084319978,0.53383006,0.33890317,0.047386244,0.04015,0.110845,54.465453,1.0,-17.966091,-17.670703,-17.49367,58.045697,56.319756,64.828472,65.662996,64.287563,63.274896,48.715284,57.121311,62.360542,40.237032,31.103557,29.480519,100.240656,52.253786,39.838124,29.474469,29.650534,29.92427,30.171182,30.025466,29.441045,29.527177,29.602434,29.698353,29.844276,30.114635,30.201783,30.103237,29.928501,29.942684,29.974736,30.172814890797298,30.026053706617226,30.17226457472364,30.342663759728516,3.1193639e-09,2.6762173e-09,2.4171559e-09,2.2702884e-09,2.1093153e-09,1.9536138e-09,1.8134423e-09,1.5293132e-09,1.097408e-09,753,472
252,6862606,1,9.875016,214.97572,52.909599,1.8053097,99.541237,0.0078231093,1.8053097,0.0023450455,0.067639442,0.053350003,0.086349655,1.1583631,0.35997679,0.040907739,0.052022,0.220542,38.789027,1.0,-18.570458,-18.242795,-18.043399,60.404455,56.871219,64.124885,64.959763,63.581209,62.530395,48.032114,56.995353,61.902495,39.585101,30.477802,28.873259,99.468502,51.481762,39.186603,28.862665,29.065682,29.361627,29.643588,29.573069,28.823022,28.926701,29.01282,29.118101,29.272451,29.579216,29.678349,29.626698,29.482182,29.514573,29.56032,29.644790310152324,29.57102699928314,29.757443523129297,29.97632162111232,4.579475e-09,3.7606448e-09,3.2693305e-09,3.0013986e-09,2.7290172e-09,2.4546808e-09,2.2202955e-09,1.862947e-09,1.3384193e-09,319,287
12034,43047483,1,7.427937,214.98025,52.907528,2.0575221,91.549487,0.010540547,2.0575221,0.0052914245,0.1128842,0.061018155,0.083773179,0.63377042,0.49534028,0.10327144,0.091144,0.517698,183.492443,1.0,-18.15141,-17.902999,-17.760976,66.713884,53.587817,47.358802,47.965715,36.616203,34.543826,32.416008,53.041072,54.962424,29.488872,28.9017,29.007137,40.534778,33.604085,28.944503,28.997199,29.192683,29.427999,29.109879,29.056413,28.96307,29.052885,29.14087,29.247711,29.35805,29.093191,29.078583,28.878364,28.701816,29.261446,29.278519,29.13156871398538,29.24603996406878,29.320784708716857,29.39487085946012,6.8083679e-09,6.3971883e-09,5.6735145e-09,5.3585932e-09,5.260671e-09,4.7621407e-09,3.7466476e-09,2.9006103e-09,2.1881778e-09,730,315
12039,43047541,1,7.432614,214.98001,52.913857,1.2570796,77.70499,0.0089391343,1.2570796,0.0011600389,0.055496781,0.036873584,0.056661201,0.24441864,0.12369831,0.090299566,0.07162,0.075348,89.536333,1.0,-17.042833,-16.729938,-16.551733,54.147036,49.485315,48.439194,49.040716,37.626838,35.58637,33.484225,50.785424,54.431289,30.584356,30.012854,30.152046,41.514781,34.652535,30.045628,30.137437,30.369375,30.680774,30.506341,30.519226,30.0951,30.206356,30.310706,30.431225,30.583413,30.471715,30.485996,30.330588,30.165903,30.737016,30.772939,30.525856395530816,30.71109011197683,30.83956433649511,30.987758195543947,1.6854741e-09,1.4814903e-09,1.239392e-09,1.1390614e-09,1.0913634e-09,9.6589827e-10,7.510046e-10,5.8528314e-10,4.3434432e-10,218,876
17826,51589488,1,7.201826,214.97939,52.906292,1.5088496,81.444758,0.00976674,1.5088496,0.0028572054,0.072273472,0.044866437,0.062391118,0.3312388,0.26884997,0.10283283,0.078085,0.439709,111.848198,1.0,-17.520173,-17.244997,-17.095339,58.860108,50.577448,46.789919,47.359338,35.484365,34.457464,32.233485,50.970441,53.864496,29.904637,29.498389,29.634925,38.780355,32.737068,29.460939,29.609002,29.824148,30.057172,29.752001,29.740243,29.566928,29.674379,29.767824,29.876261,30.003814,29.728699,29.759027,29.548293,29.924513,29.965187,29.988627,29.788837276285314,29.948533995483764,30.03744794795061,30.155609209323856,3.5232293e-09,3.1946589e-09,2.6960844e-09,2.5157577e-09,2.4416724e-09,2.1377972e-09,1.6514332e-09,1.2888204e-09,9.6272646e-10,780,162
17827,51589494,1,7.20158,214.97925,52.905315,1.8053097,86.461991,0.010368865,1.8053097,0.0021011206,0.087875722,0.03839799,0.055777652,0.43708983,0.24610713,0.079933095,0.078913,0.036213,15.466418,1.0,-17.685763,-17.376958,-17.20122,54.283761,48.644665,46.587152,47.149129,35.238821,34.240528,32.029714,49.721028,53.124523,29.72373,29.335846,29.488839,38.498018,32.509693,29.288412,29.461788,29.697564,29.99057,29.790838,29.813381,29.414895,29.536437,29.634272,29.756731,29.914575,29.758754,29.803795,29.615777,29.992286,30.044924,30.079652,29.82636654210382,30.022109223139317,30.143543453167624,30.291754071909764,3.1998264e-09,2.8189947e-09,2.360567e-09,2.1885879e-09,2.0987726e-09,1.8124325e-09,1.3890212e-09,1.0814926e-09,8.0449677e-10,849,67
38272,86094246,1,6.278136,214.97835,52.909718,1.6224189,78.612239,0.011272228,1.6224189,0.0013385903,0.10935916,0.026713957,0.039536327,0.25609564,0.17047501,0.07997836,0.096059,0.015922,40.952289,1.209861,-17.178445,-16.870279,-16.696296,47.240855,45.07164,45.735081,36.513457,32.398541,31.381283,30.214389,46.638596,49.409759,29.594811,29.700056,29.879805,33.100388,30.166028,29.651055,29.849577,30.095869,30.190891,30.005485,30.223868,29.799828,29.920643,30.039197,30.148005,30.342761,30.099286,29.856825,30.340654,30.368259,30.30905,29.805577,30.220378718220744,30.39146575071387,30.525123841301344,30.717426640120564,2.2520065e-09,1.9088009e-09,1.5525016e-09,1.4642008e-09,1.3149301e-09,1.046881e-09,7.6136087e-10,6.2049726e-10,4.4454612e-10,453,423
54426,115020206,1,5.92219,214.97682,52.908993,1.8289086,79.79591,0.012332647,1.8289086,0.0026886252,0.085124198,0.042556068,0.060853077,0.31025379,0.21666668,0.12370393,0.07745,0.066825,21.064772,1.196123,-17.435479,-17.153622,-17.00021,47.410352,44.84856,45.167998,34.229916,31.256933,30.375755,29.356434,45.752031,47.793781,29.276049,29.383144,29.54466,31.913129,29.506066,29.334892,29.525199,29.740912,29.646045,29.547806,29.702102,29.486532,29.593938,29.692333,29.785474,29.916994,29.368612,29.47689,29.77474,29.789908,29.381148,29.845306,29.70361130216788,29.807912869263156,29.890884455119057,30.05319696734037,4.0185916e-09,3.5056692e-09,3.0081453e-09,2.9239338e-09,2.5607109e-09,2.0327186e-09,1.4859819e-09,1.2314756e-09,8.8043421e-10,427,284
60227,116520302,1,5.815351,214.97835,52.91021,10.741888,142.86026,0.022598667,10.741888,0.047214309,0.44625739,0.16532478,0.24297905,5.4340362,3.9225318,0.14239634,0.12176,0.013623,9.468145,1.0,-20.216715,-20.064426,-19.948041,71.739252,50.632083,42.325947,31.014913,28.142592,27.443039,26.461012,48.644046,47.325824,26.467681,26.526132,26.619267,29.02609,26.620066,26.506599,26.607605,26.766354,26.567133,26.468864,26.554518,26.577694,26.666851,26.732425,26.798464,26.817859,26.383863,26.509488,26.565059,26.574246,26.570092,26.597602,26.54027644843432,26.581906345145477,26.585266618411744,26.61982880140608,8.4000872e-08,8.2141391e-08,7.8283647e-08,7.803896e-08,6.8414227e-08,5.4192013e-08,3.9434848e-08,3.3494246e-08,2.3912766e-08,415,467
60228,116520302,13,5.815351,214.97763,52.91051,10.741888,142.86026,0.022598667,2.4985417,0.010377582,0.026562592,0.10950554,0.2792936,0.10799704,0.25868339,0.18944667,0.063225,0.006362,6.466507,1.0,-17.16534,-17.12819,-17.133226,53.518522,47.967428,45.467299,34.552492,31.471024,30.667594,29.627874,47.785094,49.059384,29.522676,29.524426,29.556809,32.374229,29.772822,29.529299,29.550306,29.549686,28.929384,28.735524,28.759539,29.526632,29.591626,29.57448,29.529498,29.36503,28.693495,28.757567,28.77056,28.770563,28.758956,28.766173,28.777446835069576,28.77289635944166,28.741771990773984,28.81056791160156,1.1524934e-08,1.0956318e-08,1.018698e-08,1.0404367e-08,9.2700726e-09,7.4563857e-09,5.45384e-09,4.6369327e-09,3.3373566e-09,352,460
