col1_1,haloid,galid,redshift,ra,dec,m_vir,V_vir,r_vir,mhalo,mstar,mcold,Zstar,Zcold,mstardot,sfr_ave,meanage,angular_size,ellipticity,pos_angle,sersic_index,UV1500_rest,UV2300_rest,UV2800_rest,galex_FUV,galex_NUV,acsf435w,acsf606w,acsf775w,acsf814w,acsf850lp,wfc3f275w,wfc3f336w,wfc3f105w,wfc3f125w,wfc3f160w,NIRCam_F070W,NIRCam_F090W,NIRCam_F115W,NIRCam_F150W,NIRCam_F200W,NIRCam_F277W,NIRCam_F356W,NIRCam_F444W,NIRCam_F140M,NIRCam_F162M,NIRCam_F182M,NIRCam_F210M,NIRCam_F250M,NIRCam_F335M,NIRCam_F360M,NIRCam_F410M,NIRCam_F430M,NIRCam_F460M,NIRCam_F480M,irac_ch1,irac_ch2,irac_ch3,irac_ch4,MIRI_F560W,MIRI_F770W,MIRI_F1000W,MIRI_F1130W,MIRI_F1280W,MIRI_F1500W,MIRI_F1800W,MIRI_F2100W,MIRI_F2550W,x_1,y_1,col1_2,id,location,morphology,x_2,y_2,sph,disk,irr,ps,Separation
252,6862606,1,9.875016,214.97572,52.909599,1.8053097,99.541237,0.0078231093,1.8053097,0.0023450455,0.067639442,0.053350003,0.086349655,1.1583631,0.35997679,0.040907739,0.052022,0.220542,38.789027,1.0,-18.570458,-18.242795,-18.043399,60.404455,56.871219,64.124885,64.959763,63.581209,62.530395,48.032114,56.995353,61.902495,39.585101,30.477802,28.873259,99.468502,51.481762,39.186603,28.862665,29.065682,29.361627,29.643588,29.573069,28.823022,28.926701,29.01282,29.118101,29.272451,29.579216,29.678349,29.626698,29.482182,29.514573,29.56032,29.644790310152324,29.57102699928314,29.757443523129297,29.97632162111232,4.579475E-9,3.7606448E-9,3.2693305E-9,3.0013986E-9,2.7290172E-9,2.4546808E-9,2.2202955E-9,1.862947E-9,1.3384193E-9,319,287,40,41,"[318, 287]","[0.17296187972372737, 0.0008933993781969027, 0.000244070327931827, 0.825900650570144]",318,287,0.17296187972372737,8.933993781969027E-4,2.44070327931827E-4,0.825900650570144,1.0
60234,116520327,1,5.81574,214.97989,52.906643,4.8687316,109.74098,0.01735814,4.8687316,0.033941737,0.16887148,0.15165184,0.28062026,1.7241134,2.2239319,0.19635293,0.084846,0.092876,99.556436,1.0,-19.293802,-19.179835,-19.096997,72.385427,51.684765,43.275025,32.092897,29.127257,28.404328,27.408283,49.728854,48.470345,27.389621,27.431135,27.504927,30.032443,27.564431,27.41962,27.495618,27.60923,27.288367,27.134326,27.193523,27.469308,27.547721,27.590884,27.62702,27.595102,27.055062,27.171887,27.211625,27.215286,27.202553,27.220846,27.207378480837548,27.217989974955252,27.19653448949903,27.215202765197212,4.7802787E-8,4.7431768E-8,4.572752E-8,4.6001384E-8,4.0507135E-8,3.2199695E-8,2.3475422E-8,1.9932755E-8,1.4310159E-8,780,217,107,108,"[779, 217]","[8.255279694537217e-05, 4.622110408951207e-06, 0.002564584272132422, 0.9973482408205132]",779,217,8.255279694537217E-5,4.622110408951207E-6,0.002564584272132422,0.9973482408205132,1.0
99552,137143768,1,5.331341,214.97469,52.909729,11.10767,139.2608,0.024591636,11.10767,0.055308283,0.30045124,0.20132351,0.32216355,8.8178537,6.7939291,0.088018253,0.065276,0.118862,112.880226,1.0,-20.030173,-20.019906,-19.960942,110.67125,59.104366,41.984406,29.666446,27.254226,26.999083,26.496829,54.754184,48.993128,26.506474,26.508903,26.558158,28.308063,26.506736,26.504099,26.545725,26.628575,26.241824,26.201075,26.222749,26.516914,26.577709,26.605394,26.651536,26.267925,26.200764,26.264722,26.204361,26.220736,26.246061,26.248274,26.268274088844173,26.24926872209985,26.191954517936963,26.192046851972783,1.2084149E-7,1.2107309E-7,1.219732E-7,1.1348197E-7,9.8441442E-8,7.483736E-8,5.9118732E-8,4.8252043E-8,3.3384107E-8,253,250,28,29,"[253, 250]","[0.7980449070224502, 0.01727438064969905, 0.03483544730704977, 0.14984526502080098]",253,250,0.7980449070224502,0.01727438064969905,0.03483544730704977,0.14984526502080098,0.0
138612,174186952,1,4.950616,214.97714,52.908138,27.020649,181.6022,0.035178141,27.020649,0.6674549,1.3898705,0.55129091,0.89851934,40.212012,33.93475,0.19591094,0.145411,0.346569,147.597748,1.0,-19.800668,-20.327395,-20.495385,187.52222,75.397151,41.564035,29.775751,27.025192,26.874761,26.600141,66.810612,54.369465,26.3986,26.191808,26.026311,27.752674,26.597693,26.271955,26.04531,25.777098,24.976729,24.74158,24.512966,26.097877,25.961261,25.835763,25.734112,25.093812,24.795457,24.722581,24.59843,24.559438,24.445571,24.402812,24.75114556074538,24.490376483460807,24.186800643526098,23.996965243010365,7.6019252E-7,8.99536E-7,1.0754932E-6,1.0291072E-6,9.1648938E-7,6.914618E-7,5.9783431E-7,4.8986535E-7,3.45282E-7,512,222,70,71,"[512, 221]","[0.0, 0.8713990273627469, 0.12407302248438576, 0.004527950152867365]",512,221,0.0,0.8713990273627469,0.12407302248438576,0.004527950152867365,1.0
163492,193691745,1,4.869653,214.97804,52.912922,74.188791,252.56743,0.049934671,74.188791,0.56041034,3.2033165,0.48766593,0.68829554,96.464553,64.338404,0.12277195,0.213233,0.464872,57.647431,1.0,-20.654213,-21.116189,-21.234788,185.49649,72.403177,40.198368,28.645948,26.015582,25.905774,25.705482,64.234378,52.25454,25.528093,25.357002,25.223479,26.666929,25.706662,25.42303,25.23949,25.050248,24.419963,24.27005,24.113804,25.283122,25.176635,25.10016,25.023758,24.512135,24.312899,24.261281,24.168578,24.139701,24.064458,24.047422,24.28373930714301,24.097319581825122,23.868041451365073,23.721614769021727,1.0245322E-6,1.1634817E-6,1.2988922E-6,1.1911938E-6,1.0410403E-6,7.9104463E-7,6.7699235E-7,5.4278706E-7,3.7992341E-7,184,698,21,22,"[184, 699]","[5.4257756673982e-06, 0.9893038300226439, 0.009122889830991897, 0.0015678543706968524]",184,699,5.4257756673982E-6,0.9893038300226439,0.009122889830991897,0.0015678543706968524,1.0
163497,193691745,9,4.869653,214.97793,52.913715,74.188791,252.56743,0.049934671,18.349906,0.55639303,0.32644321,0.76886536,1.4063316,3.6849536,5.8848201,0.37851856,0.121178,0.144281,62.321411,1.0,-19.117259,-19.535259,-19.719572,115.3193,59.828606,40.893845,30.184895,27.586753,27.466269,27.24369,54.804031,48.299271,27.06027,26.897419,26.788909,28.262571,27.244997,26.94578,26.814212,26.420574,25.381658,25.201881,25.052858,26.884396,26.702801,26.516855,26.369834,25.480938,25.232272,25.185592,25.112334,25.078671,25.013291,24.975659,25.207229037660433,25.037419842941745,24.805011604726154,24.68957481426662,4.3239195E-7,4.7822402E-7,5.4174598E-7,5.0906058E-7,4.4522719E-7,3.325729E-7,2.7089168E-7,2.2898663E-7,1.6908076E-7,116,765,13,14,"[116, 765]","[0.0005954250289874582, 0.07908585602557705, 0.8518416194081364, 0.0684770995372991]",116,765,5.954250289874582E-4,0.07908585602557705,0.8518416194081364,0.0684770995372991,0.0
163500,193691745,19,4.869653,214.97904,52.914343,74.188791,252.56743,0.049934671,11.724332,0.22002643,0.14405558,0.46982717,0.93737877,1.2327109,2.4647778,0.33119451,0.091469,0.009022,23.10667,1.0,-18.990471,-19.21004,-19.340623,79.713473,51.4186,40.356509,30.174776,27.702445,27.588146,27.390856,48.569881,45.180839,27.288371,27.197297,27.147939,28.356589,27.39336,27.218332,27.165175,26.841822,25.899828,25.800731,25.718469,27.216628,27.078795,26.926812,26.798805,25.968499,25.81384,25.790735,25.755055,25.735306,25.696875,25.669169,25.804357440933835,25.7098572465519,25.582135495259926,25.585205718224614,2.1267953E-7,2.1039109E-7,2.2393212E-7,2.0445635E-7,1.7745318E-7,1.3090228E-7,1.0601353E-7,8.8074576E-8,6.38814E-8,127,874,15,16,"[127, 875]","[0.007520120286008316, 0.0010310963246888565, 0.00013529408037498834, 0.9913134893089278]",127,875,0.007520120286008316,0.0010310963246888565,1.3529408037498834E-4,0.9913134893089278,1.0
189675,214540301,1,4.693466,214.97736,52.907398,3.9542773,93.621528,0.01937013,3.9542773,0.022637086,0.073114733,0.12488862,0.25308698,0.84625376,1.0462707,0.22128073,0.030418,1.08E-4,1.681741,4.590306,-18.724397,-18.593491,-18.512236,49.522486,42.632968,37.837889,29.283874,27.575757,27.577352,27.616111,41.828163,41.236446,27.660859,27.727796,27.8267,28.013223,27.613834,27.692491,27.816724,27.799868,27.288455,27.364755,27.399684,27.801382,27.842564,27.875095,27.751451,27.349208,27.395761,27.334107,27.398764,27.395977,27.397602,27.406306,27.402381424363682,27.401150745317963,27.390150987080425,27.480373877287242,4.042374E-8,3.6845764E-8,3.5094914E-8,3.0143497E-8,2.5043329E-8,1.8965707E-8,1.4992924E-8,1.193762E-8,1.0290514E-8,582,166,82,83,"[582, 166]","[2.4576971591763288e-05, 0.0, 0.0, 0.9999754230284083]",582,166,2.4576971591763288E-5,0.0,0.0,0.9999754230284083,0.0
194248,214771412,1,4.575816,214.97571,52.908226,4.9144543,99.618614,0.021262284,4.9144543,0.0091594938,0.11709569,0.073652201,0.12014286,1.2797928,1.0113059,0.11653605,0.05476,0.030478,14.182156,1.0,-18.810628,-18.590301,-18.453132,50.418248,42.336034,36.368763,28.773976,27.42761,27.450076,27.525083,41.268748,40.331454,27.587388,27.695922,27.84068,27.750878,27.512371,27.641527,27.824335,27.904267,27.609507,27.764647,27.879304,27.789635,27.879461,27.976574,27.824209,27.649381,27.80716,27.71144,27.859377,27.873039,27.90492,27.914527,27.823243533454217,27.88603619136601,27.937435301465648,28.071590961062512,2.4432563E-8,2.1495145E-8,1.8943208E-8,1.5910809E-8,1.2967847E-8,9.9749302E-9,7.7225899E-9,6.059823E-9,9.7296743E-9,427,162,58,59,"[426, 162]","[0.07203440271372163, 0.000376252849997264, 0.0003294449842408835, 0.9272598994520402]",426,162,0.07203440271372163,3.76252849997264E-4,3.294449842408835E-4,0.9272598994520402,1.0
194278,214771540,1,4.575604,214.97839,52.910694,3.5884956,89.703902,0.019147203,3.5884956,0.012213531,0.13357298,0.079723341,0.12222961,0.77984318,0.7935154,0.16461996,0.079137,0.847351,324.878214,1.0,-17.915108,-17.842991,-17.78844,73.382637,49.256132,37.919998,29.863376,28.363438,28.368437,28.39152,46.550463,43.332119,28.40127,28.452587,28.513368,28.728404,28.380975,28.423057,28.509676,28.422698,27.937233,27.98515,28.01338,28.501942,28.522713,28.551954,28.300311,28.000741,28.035468,27.935019,28.017556,28.012497,28.015767,28.011167,28.034343978150247,28.012047133560337,28.0019889857369,28.081656415693516,2.2984012E-8,2.1186935E-8,1.9756375E-8,1.6911272E-8,1.3918861E-8,1.0832886E-8,8.4841367E-9,6.7001881E-9,1.1448519E-8,379,513,49,50,"[378, 513]","[0.14714714632427625, 7.31833978232552e-05, 0.0, 0.8527796702779005]",378,513,0.14714714632427625,7.31833978232552E-5,0.0,0.8527796702779005,1.0
